"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"Arte Veneta";"0392-5234";"Art Index";"H. W. Wilson Company";"1997";"0";"51";"2007";"0";"64";"0";"0";"0";"0";"0";"0";"27";"0"
"Arte y Parte";"1136-2006";"Art Index";"H. W. Wilson Company";"2005";"0";"59";"2009";"0";"79";"0";"0";"0";"0";"0";"0";"21";"0"
"Artefactum";"0771-761X";"Art Index";"H. W. Wilson Company";"1993";"11";"0";"1994";"11";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Artes de Mexico";"0300-4953";"Art Index";"H. W. Wilson Company";"1993";"0";"22";"2008";"0";"90";"0";"0";"0";"0";"0";"0";"87";"0"
"Artext";"1544-2136";"Art Index";"H. W. Wilson Company";"2000";"0";"68";"2002";"0";"78";"0";"0";"0";"0";"0";"0";"11";"0"
"Artext";"0727-1182";"Art Index";"H. W. Wilson Company";"1994";"0";"48";"2002";"0";"78";"0";"0";"0";"0";"0";"0";"37";"0"
"Artforum";"0004-3532";"Art Index";"H. W. Wilson Company";"1986";"24";"0";"1999";"38";"1";"0";"0";"0";"0";"0";"0";"13";"0"
"Artforum International";"1086-7058";"Art Index";"H. W. Wilson Company";"1984";"22";"0";"2009";"47";"10";"0";"0";"0";"0";"0";"0";"233";"0"
"Artibus Asiae";"0004-3648";"Art Index";"H. W. Wilson Company";"1984";"45";"1";"2008";"68";"2";"0";"0";"0";"0";"0";"0";"84";"0"
"Artibus et Historiae";"0391-9064";"Art Index";"H. W. Wilson Company";"1993";"14";"27";"2008";"29";"58";"0";"0";"0";"0";"0";"0";"35";"0"
"Artichoke";"0847-3277";"Art Index";"H. W. Wilson Company";"2002";"14";"1";"2005";"17";"2";"0";"0";"0";"0";"0";"0";"18";"0"
"Artist";"0004-3877";"Art Index";"H. W. Wilson Company";"1987";"17";"0";"1993";"108";"0";"0";"0";"0";"0";"0";"0";"45";"0"
"Artonview";"1323-4552";"Art Index";"H. W. Wilson Company";"2004";"0";"40";"2008";"0";"56";"0";"0";"0";"0";"0";"0";"17";"0"
"Arts & the Islamic World";"0264-1828";"Art Index";"H. W. Wilson Company";"1994";"0";"25";"2001";"35";"0";"0";"0";"0";"0";"0";"0";"11";"0"
"Arts Asiatiques";"0004-3958";"Art Index";"H. W. Wilson Company";"1984";"39";"0";"2008";"63";"0";"0";"0";"0";"0";"0";"0";"45";"0"
"Arts d'Afrique Noire";"0337-1603";"Art Index";"H. W. Wilson Company";"1984";"0";"51";"2004";"0";"132";"0";"0";"0";"0";"0";"0";"140";"0"
"Arts in Virginia";"0004-4032";"Art Index";"H. W. Wilson Company";"1986";"18";"3";"1992";"30";"0";"0";"0";"0";"0";"0";"0";"21";"0"
"Arts Magazine";"0004-4059";"Art Index";"H. W. Wilson Company";"1984";"14";"0";"1992";"107";"0";"0";"0";"0";"0";"0";"0";"82";"0"
"Arts of Asia";"0004-4083";"Art Index";"H. W. Wilson Company";"1984";"14";"0";"2009";"39";"3";"0";"0";"0";"0";"0";"0";"164";"0"
"ArtUS";"1546-7082";"Art Index";"H. W. Wilson Company";"2003";"0";"0";"2008";"0";"24/25";"0";"0";"0";"0";"0";"0";"27";"0"
"Artweek";"0004-4121";"Art Index";"H. W. Wilson Company";"1619";"20";"0";"2009";"40";"5";"0";"0";"0";"0";"0";"0";"286";"0"
"Asian Art & Culture";"1352-2744";"Art Index";"H. W. Wilson Company";"1994";"7";"0";"1996";"9";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Assemblage";"0889-3012";"Art Index";"H. W. Wilson Company";"1998";"0";"35";"2000";"0";"171";"0";"0";"0";"0";"0";"0";"8";"0"
"Assemblage";"0899-3012";"Art Index";"H. W. Wilson Company";"1998";"0";"35";"2000";"0";"41";"0";"0";"0";"0";"0";"0";"7";"0"
"Aurora (Woodcliff Lake, N.J.)";"1527-652X";"Art Index";"H. W. Wilson Company";"2000";"1";"0";"2008";"9";"0";"0";"0";"0";"0";"0";"0";"12";"0"
"Baumeister";"0005-674X";"Art Index";"H. W. Wilson Company";"1994";"91";"0";"2009";"106";"5";"0";"0";"0";"0";"0";"0";"198";"0"
"Beaux Arts Magazine";"0757-2271";"Art Index";"H. W. Wilson Company";"1993";"0";"117";"2008";"0";"293";"0";"0";"0";"0";"0";"0";"226";"0"
"Biblical Archaeologist";"0006-0895";"Art Index";"H. W. Wilson Company";"1984";"15";"0";"1997";"60";"0";"0";"0";"0";"0";"0";"0";"49";"0"
"Biblical Archaeology Review";"0098-9444";"Art Index";"H. W. Wilson Company";"1998";"24";"0";"2009";"35";"3";"0";"0";"0";"0";"0";"0";"90";"0"
"Blind Spot";"1068-1647";"Art Index";"H. W. Wilson Company";"1998";"0";"11";"2009";"40";"0";"0";"0";"0";"0";"0";"0";"39";"0"
"Blueprint";"";"Art Index";"H. W. Wilson Company";"1998";"0";"146";"1999";"0";"157";"0";"0";"0";"0";"0";"0";"12";"0"
"Blueprint";"0268-4926";"Art Index";"H. W. Wilson Company";"1998";"0";"146";"2009";"0";"279";"0";"0";"0";"0";"0";"0";"168";"0"
"Boletin del Museo Chileno de Arte Precolombino";"0716-1530";"Art Index";"H. W. Wilson Company";"2006";"11";"1";"2008";"13";"2";"0";"0";"0";"0";"0";"0";"6";"0"
"Bollettino d'Arte";"0394-4573";"Art Index";"H. W. Wilson Company";"1983";"68";"0";"2008";"93";"0";"0";"0";"0";"0";"0";"0";"120";"0"
"Bollettino d'Arte";"0391-9854";"Art Index";"H. W. Wilson Company";"1983";"68";"0";"1995";"80";"0";"0";"0";"0";"0";"0";"0";"20";"0"
"Border Crossings";"0831-2559";"Art Index";"H. W. Wilson Company";"1998";"17";"0";"2009";"28";"2";"0";"0";"0";"0";"0";"0";"56";"0"
"British Art Journal";"1467-2006";"Art Index";"H. W. Wilson Company";"1999";"1";"1";"2009";"9";"3";"0";"0";"0";"0";"0";"0";"33";"0"
"British Journal of Photography";"0007-1196";"Art Index";"H. W. Wilson Company";"1972";"0";"7209";"2009";"156";"0";"0";"0";"0";"0";"0";"0";"591";"0"
"Buildings & Landscapes";"1936-0886";"Art Index";"H. W. Wilson Company";"2007";"14";"0";"2007";"14";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bulletin (Allen Memorial Art Museum (Oberlin, Ohio))";"0002-5739";"Art Index";"H. W. Wilson Company";"1983";"41";"2";"2003";"150";"0";"0";"0";"0";"0";"0";"0";"30";"0"
"Bulletin (Los Angeles County Museum of Art)";"0024-6557";"Art Index";"H. W. Wilson Company";"1983";"27";"0";"1984";"28";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Bulletin (Musees Royaux des Beaux-Arts de Belgique)";"0027-3856";"Art Index";"H. W. Wilson Company";"1981";"30-33";"4";"1989";"38-40";"0";"0";"0";"0";"0";"0";"0";"7";"0"
"Bulletin (Museum of Fine Arts (Boston, Mass.))";"0739-5736";"Art Index";"H. W. Wilson Company";"1982";"80";"0";"1983";"81";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Bulletin (National Gallery of Canada)";"0711-2866";"Art Index";"H. W. Wilson Company";"1982";"6";"0";"1984";"8";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Bulletin (Philadelphia Museum of Art)";"0031-7314";"Art Index";"H. W. Wilson Company";"1984";"80";"0";"1998";"91";"386-387";"0";"0";"0";"0";"0";"0";"27";"0"
"Bulletin Monumental";"0007-473X";"Art Index";"H. W. Wilson Company";"1984";"142";"2";"2007";"165";"4";"0";"0";"0";"0";"0";"0";"169";"0"
"Bulletin of the American Schools of Oriental Research";"0003-097X";"Art Index";"H. W. Wilson Company";"1981";"0";"244";"2009";"0";"354";"0";"0";"0";"0";"0";"0";"149";"0"
"Bulletin of the Detroit Institute of Arts";"0011-9636";"Art Index";"H. W. Wilson Company";"1983";"61";"3";"2008";"82";"1/2";"0";"0";"0";"0";"0";"0";"80";"0"
"Bulletin van het Rijksmuseum";"0165-9510";"Art Index";"H. W. Wilson Company";"1984";"32";"3";"2008";"56";"3";"0";"0";"0";"0";"0";"0";"152";"0"
"Burgen und Schlosser";"0007-6201";"Art Index";"H. W. Wilson Company";"2002";"0";"1";"2002";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Burlington Magazine";"0007-6287";"Art Index";"H. W. Wilson Company";"0";"0";"0";"2009";"151";"0";"0";"0";"0";"0";"0";"0";"233";"0"
"C Magazine";"1480-5472";"Art Index";"H. W. Wilson Company";"1998";"0";"58";"2009";"0";"102";"0";"0";"0";"0";"0";"0";"57";"0"
"Cahiers Arch?eologiques";"0068-4945";"Art Index";"H. W. Wilson Company";"1983";"31";"0";"2002";"50";"0";"0";"0";"0";"0";"0";"0";"33";"0"
"Cahiers du Cinema";"0008-011X";"Art Index";"H. W. Wilson Company";"1972";"0";"7250";"2009";"0";"643";"0";"0";"0";"0";"0";"0";"325";"0"
"Cahiers du Musee National d'Art Moderne";"0181-1525";"Art Index";"H. W. Wilson Company";"1987";"0";"19-20";"2008";"0";"106";"0";"0";"0";"0";"0";"0";"120";"0"
"Calligraphy Review";"0895-7819";"Art Index";"H. W. Wilson Company";"1994";"11";"1";"1996";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Cambridge Archaeological Journal";"0959-7743";"Art Index";"H. W. Wilson Company";"2003";"0";"0";"2009";"19";"2";"0";"0";"0";"0";"0";"0";"20";"0"
"Camera Obscura";"0270-5346";"Art Index";"H. W. Wilson Company";"1993";"0";"32";"2009";"0";"70";"0";"0";"0";"0";"0";"0";"45";"0"
"Camerawork";"1087-8122";"Art Index";"H. W. Wilson Company";"1998";"25";"1";"2009";"36";"1";"0";"0";"0";"0";"0";"0";"31";"0"
"Canadian Architect";"0008-2872";"Art Index";"H. W. Wilson Company";"1984";"0";"90";"2009";"54";"5";"0";"0";"0";"0";"0";"0";"266";"0"
"Canadian Art";"0825-3854";"Art Index";"H. W. Wilson Company";"1993";"10";"0";"2008";"25";"4";"0";"0";"0";"0";"0";"0";"69";"0"
"Canadian Journal of Film Studies";"0847-5911";"Art Index";"H. W. Wilson Company";"2007";"16";"1";"2008";"17";"2";"0";"0";"0";"0";"0";"0";"4";"0"
"Casabella";"0008-7181";"Art Index";"H. W. Wilson Company";"1958";"58";"0";"2009";"73";"6";"0";"0";"0";"0";"0";"0";"211";"0"
"Central Asiatic Journal";"0008-9192";"Art Index";"H. W. Wilson Company";"2003";"0";"53";"2008";"52";"2";"0";"0";"0";"0";"0";"0";"17";"0"
"Centropa (New York, N.Y.)";"1532-5563";"Art Index";"H. W. Wilson Company";"2003";"3";"1";"2009";"9";"2";"0";"0";"0";"0";"0";"0";"25";"0"
"Ceramic Review";"0144-1825";"Art Index";"H. W. Wilson Company";"1984";"0";"87";"2009";"0";"237";"0";"0";"0";"0";"0";"0";"201";"0"
"Ceramics (Sydney, Australia)";"1035-1841";"Art Index";"H. W. Wilson Company";"1998";"0";"31";"2009";"0";"76";"0";"0";"0";"0";"0";"0";"52";"0"
"Ceramics Monthly";"0009-0328";"Art Index";"H. W. Wilson Company";"1967";"47";"266/267";"2009";"57";"6";"0";"0";"0";"0";"0";"0";"253";"0"
"Ceramics Technical";"1324-4175";"Art Index";"H. W. Wilson Company";"1998";"0";"6";"2009";"0";"28";"0";"0";"0";"0";"0";"0";"30";"0"
"Chicago Art Journal";"1523-6072";"Art Index";"H. W. Wilson Company";"2008";"18";"0";"2008";"18";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Cimaise";"0009-6830";"Art Index";"H. W. Wilson Company";"1967";"47";"266/267";"2007";"55";"0";"0";"0";"0";"0";"0";"0";"82";"0"
"Cineaste";"0009-7004";"Art Index";"H. W. Wilson Company";"1986";"0";"5";"2009";"34";"3";"0";"0";"0";"0";"0";"0";"133";"0"
"Cinema Journal";"0009-7101";"Art Index";"H. W. Wilson Company";"1984";"0";"256";"2009";"48";"3";"0";"0";"0";"0";"0";"0";"111";"0"
"Circa (Belfast, Northern Ireland)";"0263-9475";"Art Index";"H. W. Wilson Company";"2002";"0";"5";"2009";"0";"128";"0";"0";"0";"0";"0";"0";"35";"0"
"Clarion";"0197-6850";"Art Index";"H. W. Wilson Company";"1985";"0";"0";"1992";"45";"0";"0";"0";"0";"0";"0";"0";"47";"0"
"Clothing and Textiles Research Journal";"0887-302X";"Art Index";"H. W. Wilson Company";"2003";"0";"57";"2009";"27";"2";"0";"0";"0";"0";"0";"0";"30";"0"
"Communication Arts Magazine";"0010-3519";"Art Index";"H. W. Wilson Company";"1967";"47";"266/267";"2009";"51";"3";"0";"0";"0";"0";"0";"0";"220";"0"
"Computers and the History of Art";"1048-6798";"Art Index";"H. W. Wilson Company";"1995";"5";"0";"1999";"8";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Congr?es Arch?eologique de France";"0069-8881";"Art Index";"H. W. Wilson Company";"1980";"138";"0";"1988";"146";"0";"0";"0";"0";"0";"0";"0";"16";"0"
"Connaissance des Arts";"0395-5907";"Art Index";"H. W. Wilson Company";"1984";"0";"386";"2009";"0";"673";"0";"0";"0";"0";"0";"0";"370";"0"
"Connoisseur";"0010-6275";"Art Index";"H. W. Wilson Company";"1984";"0";"71";"1992";"222";"0";"0";"0";"0";"0";"0";"0";"124";"0"
