"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"African music";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"3";"1";"1996";"7";"3";"0";"0";"0";"0";"0";"0";"20";"0"
"African music";"0065-4019";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1954";"1";"1";"1999";"7";"4";"0";"0";"0";"0";"0";"0";"17";"0"
"African notes";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1979";"8";"1";"1991";"15";"1/2";"0";"0";"0";"0";"0";"0";"11";"0"
"African notes";"0002-0087";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1970";"6";"1";"2002";"36";"1-2";"0";"0";"0";"0";"0";"0";"21";"0"
"African social research";"0002-0168";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"41-2";"0";"2005";"0";"51";"0";"0";"0";"0";"0";"0";"3";"0"
"African social research";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1966";"1";"0";"2001";"47-48";"0";"0";"0";"0";"0";"0";"0";"44";"0"
"African studies";"0002-0184";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1943";"2";"0";"2009";"68";"1";"0";"0";"0";"0";"0";"0";"81";"0"
"African studies";"0002-0814";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1993";"52";"2";"1993";"52";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"African studies";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"21";"3/4";"1994";"53";"2";"0";"0";"0";"0";"0";"0";"79";"0"
"African studies review";"0002-0206";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"41";"2";"2008";"67";"3";"0";"0";"0";"0";"0";"0";"32";"0"
"African studies review";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"25";"0";"2004";"47";"3";"0";"0";"0";"0";"0";"0";"28";"0"
"African study monographs";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1981";"0";"0";"2004";"25";"2";"0";"0";"0";"0";"0";"0";"31";"0"
"African study monographs";"0285-1601";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"3";"0";"2009";"30";"1";"0";"0";"0";"0";"0";"0";"97";"0"
"African study monographs supplementary issue";"0286-9667";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1987";"0";"6";"2008";"0";"39";"0";"0";"0";"0";"0";"0";"60";"0"
"African study monographs supplementary issue";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"0";"0";"1992";"19";"0";"0";"0";"0";"0";"0";"0";"13";"0"
"African urban quarterly";"0747-6108";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"11";"2-3";"1996";"11";"2-3";"0";"0";"0";"0";"0";"0";"1";"0"
"African urban quarterly";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1986";"0";"3/4";"1992";"7";"3/4";"0";"0";"0";"0";"0";"0";"11";"0"
"African urban studies";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1990";"1";"0";"1996";"4";"111-75";"0";"0";"0";"0";"0";"0";"7";"0"
"Africana bulletin";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1964";"1";"0";"1997";"44";"0";"0";"0";"0";"0";"0";"0";"42";"0"
"Africana bulletin";"0002-029X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1998";"46";"0";"2008";"56";"0";"0";"0";"0";"0";"0";"0";"19";"0"
"Africana Marburgensia";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1991";"24";"1";"1999";"32";"1/2";"0";"0";"0";"0";"0";"0";"9";"0"
"Afrika und Ubersee";"0002-0427";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"79";"1";"2005";"86";"2";"0";"0";"0";"0";"0";"0";"12";"0"
"Afrika und Ubersee";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"46";"1/2";"1997";"80";"1";"0";"0";"0";"0";"0";"0";"80";"0"
"Agecop Liaison";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1976";"27";"0";"1982";"67";"0";"0";"0";"0";"0";"0";"0";"26";"0"
"Agria";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"0";"0";"1998";"34";"321-47";"0";"0";"0";"0";"0";"0";"10";"0"
"Agria";"0236-9168";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"35";"0";"2008";"44";"0";"0";"0";"0";"0";"0";"0";"14";"0"
"Akwekon Journal";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1992";"9";"1";"1994";"11";"3/4";"0";"0";"0";"0";"0";"0";"11";"0"
"Akwesasne notes";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"2";"1";"1997";"2";"2";"0";"0";"0";"0";"0";"0";"2";"0"
"Al-Qantara";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1993";"14";"1";"1999";"20";"12";"0";"0";"0";"0";"0";"0";"5";"0"
"Al-qantara";"0211-3589";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"20";"2";"2008";"29";"2";"0";"0";"0";"0";"0";"0";"18";"0"
"Al-QantIara";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1999";"20";"12";"1999";"20";"12";"0";"0";"0";"0";"0";"0";"1";"0"
"Al-QantN??ara";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"17";"1";"1996";"17";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Alba Regia";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1961";"2/3";"0";"1990";"24";"0";"0";"0";"0";"0";"0";"0";"19";"0"
"Alberta Anthropology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1967";"1";"1";"1968";"2";"3";"0";"0";"0";"0";"0";"0";"6";"0"
"Alberta archaeological review";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1977";"1";"0";"1997";"25";"25-32";"0";"0";"0";"0";"0";"0";"21";"0"
"Alcheringa: ethnopoetics";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1977";"3";"1";"1980";"4";"2";"0";"0";"0";"0";"0";"0";"4";"0"
"Allpanchis";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1983";"0";"22";"2006";"67";"1";"0";"0";"0";"0";"0";"0";"34";"0"
"Allpanchis phuturinqa";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1969";"1";"0";"1994";"43/4";"2";"0";"0";"0";"0";"0";"0";"21";"0"
"Almogaren";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"27";"7-83";"2006";"37";"0";"0";"0";"0";"0";"0";"0";"30";"0"
"Alt-Thuringen";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"6";"0";"1991";"26";"0";"0";"0";"0";"0";"0";"0";"21";"0"
"Alteridades";"0188-7017";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1997";"7";"13";"2008";"18";"36";"0";"0";"0";"0";"0";"0";"22";"0"
"Alteridades";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"6";"12";"2000";"10";"19";"0";"0";"0";"0";"0";"0";"2";"0"
"Amazonia peruana";"0252-886X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1978";"2";"3";"1999";"26";"255-88";"0";"0";"0";"0";"0";"0";"32";"0"
"Amazonia peruana";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1980";"0";"0";"1994";"12";"24";"0";"0";"0";"0";"0";"0";"18";"0"
"America indigena";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"23";"1";"1990";"50";"4";"0";"0";"0";"0";"0";"0";"92";"0"
"America indigena";"0185-1179";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1113";"29";"0";"1998";"58";"1-2";"0";"0";"0";"0";"0";"0";"116";"0"
"America latina";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1965";"8";"1";"1976";"17";"0";"0";"0";"0";"0";"0";"0";"25";"0"
"America negra";"0121-5914";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"11";"0";"1996";"11";"195-210";"0";"0";"0";"0";"0";"0";"11";"0"
"America negra";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1996";"12";"0";"1998";"15";"199-214";"0";"0";"0";"0";"0";"0";"10";"0"
"American anthropologist";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"64";"6";"2004";"106";"4";"0";"0";"0";"0";"0";"0";"146";"0"
"American anthropologist";"0002-7294";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1000";"91";"4";"2009";"111";"1";"0";"0";"0";"0";"0";"0";"283";"0"
"American antiquity";"0002-7316";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1936";"1";"0";"2009";"74";"1";"0";"0";"0";"0";"0";"0";"212";"0"
"American antiquity";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"28";"2";"2005";"70";"2";"0";"0";"0";"0";"0";"0";"122";"0"
"American ethnologist";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1974";"1";"1";"2005";"32";"2";"0";"0";"0";"0";"0";"0";"96";"0"
"American ethnologist";"0094-0496";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1975";"2";"0";"2009";"36";"1";"0";"0";"0";"0";"0";"0";"128";"0"
"American Indian art magazine";"0192-9968";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1976";"1";"2";"2009";"34";"3";"0";"0";"0";"0";"0";"0";"80";"0"
"American Indian art magazine";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1975";"1";"1";"1999";"24";"4";"0";"0";"0";"0";"0";"0";"62";"0"
"American Indian basketry and other native crafts";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1985";"5";"1";"1985";"5";"3";"0";"0";"0";"0";"0";"0";"3";"0"
"American Indian basketry magazine";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1979";"1";"1";"1984";"4";"2";"0";"0";"0";"0";"0";"0";"14";"0"
"American Indian culture and research journal";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"0";"0";"1998";"22";"4";"0";"0";"0";"0";"0";"0";"28";"0"
"American Indian culture and research journal";"0161-6463";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1981";"5";"1";"2007";"31";"1";"0";"0";"0";"0";"0";"0";"101";"0"
"American Indian NMAI";"1528-0640";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"2000";"1";"1";"2009";"10";"2";"0";"0";"0";"0";"0";"0";"36";"0"
"American Indian quarterly";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"0";"1/2";"1998";"22";"4";"0";"0";"0";"0";"0";"0";"31";"0"
"American Indian quarterly";"0095-182X";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1975";"2";"2";"2009";"33";"2";"0";"0";"0";"0";"0";"0";"102";"0"
"American Indian rock art";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1974";"1";"0";"2004";"30";"0";"0";"0";"0";"0";"0";"0";"25";"0"
"American journal of archaeology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"67";"1";"1989";"93";"0";"0";"0";"0";"0";"0";"0";"86";"0"
"American Journal of folklore";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1982";"95";"376";"1982";"95";"376";"0";"0";"0";"0";"0";"0";"1";"0"
"American journal of human biology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"0";"0";"2005";"17";"1";"0";"0";"0";"0";"0";"0";"29";"0"
"American journal of human biology";"1042-0533";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1989";"1";"1";"2009";"21";"3";"0";"0";"0";"0";"0";"0";"123";"0"
"American journal of human genetics";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"14";"4";"1992";"50";"6";"0";"0";"0";"0";"0";"0";"154";"0"
"American journal of physical anthropology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1962";"20";"1";"2005";"127";"3";"0";"0";"0";"0";"0";"0";"251";"0"
"American journal of physical anthropology (Supplement)";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1997";"24";"0";"1997";"24";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American journal of sociology";"";"AnthropologicalIndex";"Institut de l&#8217;Information Scientifique et Technique du CNRS ";"1963";"68";"4";"1997";"103";"3";"0";"0";"0";"0";"0";"0";"164";"0"
