"Title";"ISSN";"Database Name";"Database Producer";"Citation Begin Year";"Citation Begin Volume";"Citation Begin Issue";"Citation Most Recent Year";"Citation Most Recent Volume";"Citation Most Recent Issue";"Fulltext Begin Year";"Fulltext Begin Volume";"Fulltext Begin Issue";"Fulltext Most Recent Year";"Fulltext Most Recent Volume";"Fulltext Most Recent Issue";"Total Number of Issues";"Total Number of Fulltext Issues"
"AARP: art and archaeology research papers";"";"AveryIndex";"University of California";"1978";"15";"0";"1979";"15";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Abacus";"";"AveryIndex";"University of California";"1988";"4";"13";"1992";"8";"26";"0";"0";"0";"0";"0";"0";"15";"0"
"Abacus (Finland)";"0357-7465";"AveryIndex";"University of California";"1979";"0";"0";"1979";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Abitare";"";"AveryIndex";"University of California";"1962";"0";"10";"1998";"0";"376";"0";"0";"0";"0";"0";"0";"179";"0"
"Abitare";"0003-3218";"AveryIndex";"University of California";"2003";"0";"424";"2003";"0";"424";"0";"0";"0";"0";"0";"0";"1";"0"
"Abitare";"0021-2218";"AveryIndex";"University of California";"1985";"0";"231";"1985";"0";"231";"0";"0";"0";"0";"0";"0";"1";"0"
"Abitare";"0001-3218";"AveryIndex";"University of California";"1977";"0";"151";"2008";"0";"487";"0";"0";"0";"0";"0";"0";"236";"0"
"Abitare";"0001-3128";"AveryIndex";"University of California";"1988";"0";"269";"1988";"0";"269";"0";"0";"0";"0";"0";"0";"1";"0"
"Abitare";"0002-3218";"AveryIndex";"University of California";"1988";"0";"268";"1988";"0";"268";"0";"0";"0";"0";"0";"0";"1";"0"
"Abitare. International ed.";"";"AveryIndex";"University of California";"1974";"0";"126";"1974";"0";"127";"0";"0";"0";"0";"0";"0";"2";"0"
"Abstract";"";"AveryIndex";"University of California";"1987";"0";"0";"2005";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0"
"Abstraction";"";"AveryIndex";"University of California";"1932";"0";"1";"1934";"0";"3";"0";"0";"0";"0";"0";"0";"2";"0"
"Abteilung Istanbul. Instanbuler Mitteilungen";"";"AveryIndex";"University of California";"1975";"25";"0";"1975";"25";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"AC: international asbestos-cement review";"";"AveryIndex";"University of California";"1977";"22";"3";"1979";"24";"2";"0";"0";"0";"0";"0";"0";"2";"0"
"AC: the fibrecement review";"0001-0731";"AveryIndex";"University of California";"1984";"9";"2";"1985";"310";"1";"0";"0";"0";"0";"0";"0";"7";"0"
"AC: the fibrecement review";"";"AveryIndex";"University of California";"1980";"25";"197";"1981";"26";"4104";"0";"0";"0";"0";"0";"0";"9";"0"
"Acade??mie d'architecture";"";"AveryIndex";"University of California";"1974";"0";"0";"1975";"0";"65";"0";"0";"0";"0";"0";"0";"3";"0"
"Academy architecture and architectural review";"";"AveryIndex";"University of California";"1904";"26";"0";"1922";"54";"0";"0";"0";"0";"0";"0";"0";"14";"0"
"Academy notes";"";"AveryIndex";"University of California";"1911";"6";"0";"1931";"22";"0";"0";"0";"0";"0";"0";"0";"6";"0"
"Accademia Nazionale de Lincei, Rome. Monumenti antichi";"0391-8084";"AveryIndex";"University of California";"1988";"3";"4";"1988";"3";"4";"0";"0";"0";"0";"0";"0";"1";"0"
"Accademia Raffaello: atti e studi: nuova serie";"";"AveryIndex";"University of California";"2002";"0";"1";"2002";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Access by design";"0959-1591";"AveryIndex";"University of California";"1990";"0";"51";"2004";"0";"101";"0";"0";"0";"0";"0";"0";"51";"0"
"Achademia Leonardi Vinci";"";"AveryIndex";"University of California";"1988";"1";"0";"1991";"4";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Acro??pole : arquitetura, urbanismo, decorac?a??o";"";"AveryIndex";"University of California";"1966";"27";"326";"1967";"29";"342";"0";"0";"0";"0";"0";"0";"10";"0"
"Acro??pole: arquitetura, urbanismo, decorac?a??o";"";"AveryIndex";"University of California";"1966";"28";"330";"1971";"33";"385";"0";"0";"0";"0";"0";"0";"4";"0"
"Acropole : arquitetura, urbanismo, decorac?a??o";"";"AveryIndex";"University of California";"1966";"27";"325";"1967";"28";"337";"0";"0";"0";"0";"0";"0";"5";"0"
"Acropole : arquitetura, urbanismo, decorac?a?o";"";"AveryIndex";"University of California";"1967";"28";"336";"1967";"28";"336";"0";"0";"0";"0";"0";"0";"1";"0"
"Acropole: arquitetura, urbanismo, decorac?a??o";"";"AveryIndex";"University of California";"1966";"28";"328";"1971";"33";"388";"0";"0";"0";"0";"0";"0";"12";"0"
"Across architecture";"0266-6200";"AveryIndex";"University of California";"1985";"0";"0";"1987";"0";"4";"0";"0";"0";"0";"0";"0";"2";"0"
"Acta ad archaeologiam et artium historiam pertinentia";"";"AveryIndex";"University of California";"1962";"1";"0";"1978";"8";"0";"0";"0";"0";"0";"0";"0";"7";"0"
"Acta ad archaeologiam et artium historiam pertinentia (Institutum Romanum Norvegiae)";"";"AveryIndex";"University of California";"1965";"2";"0";"1969";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Acta ad archaeologiam et artium historiam pertinentia. Serie altera";"0333-1512";"AveryIndex";"University of California";"1985";"5";"0";"1987";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Acta archaeologica";"0001-5210";"AveryIndex";"University of California";"1977";"291-2";"0";"1986";"38";"1-2";"0";"0";"0";"0";"0";"0";"9";"0"
"Acta archaeologica Academiae Scientiarum Hungaricae";"";"AveryIndex";"University of California";"1963";"15";"1-4";"1974";"26";"3-4";"0";"0";"0";"0";"0";"0";"4";"0"
"Acta Historiae Artium";"";"AveryIndex";"University of California";"1954";"2";"0";"1979";"25";"3-4";"0";"0";"0";"0";"0";"0";"11";"0"
"Acta historiae artium";"0001-5830";"AveryIndex";"University of California";"1975";"0";"42-43";"1987";"33";"1-2";"0";"0";"0";"0";"0";"0";"7";"0"
"Acta praehistorica et archaeologica";"";"AveryIndex";"University of California";"1973";"0";"4";"1974";"0";"5/6";"0";"0";"0";"0";"0";"0";"2";"0"
"Acta. Institutum Romanum Norvegiae";"";"AveryIndex";"University of California";"1952";"1";"0";"1962";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Acta. Institutum Romanum Norvigiae";"";"AveryIndex";"University of California";"1962";"1";"0";"1962";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Actes";"";"AveryIndex";"University of California";"1958";"83";"0";"1968";"91";"0";"0";"0";"0";"0";"0";"0";"6";"0"
"ADA: architecture, design, art";"";"AveryIndex";"University of California";"1987";"0";"3";"1989";"0";"7";"0";"0";"0";"0";"0";"0";"4";"0"
"Adobe today";"0162-2978";"AveryIndex";"University of California";"1982";"0";"37";"1982";"0";"37";"0";"0";"0";"0";"0";"0";"1";"0"
"Advisory council on historic preservation: report";"";"AveryIndex";"University of California";"1975";"0";"0";"1975";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Africa";"";"AveryIndex";"University of California";"1967";"2";"0";"1972";"3-4";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Africa italiana";"";"AveryIndex";"University of California";"1935";"6";"0";"1941";"8";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"African arts";"0001-9933";"AveryIndex";"University of California";"1982";"16";"1";"1994";"27";"2";"0";"0";"0";"0";"0";"0";"12";"0"
"African urban quarterly";"0747-6108";"AveryIndex";"University of California";"1988";"3";"1-2";"1992";"7";"3-4";"0";"0";"0";"0";"0";"0";"3";"0"
"Agora / Landscape Architecture Foundation";"";"AveryIndex";"University of California";"1987";"2";"0";"1987";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"AIA bulletin";"";"AveryIndex";"University of California";"1955";"9";"0";"1955";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"AIA Journal";"";"AveryIndex";"University of California";"1913";"1";"0";"1979";"68";"13";"0";"0";"0";"0";"0";"0";"27";"0"
"AIAS news";"";"AveryIndex";"University of California";"1991";"7";"1";"1994";"9";"3";"0";"0";"0";"0";"0";"0";"7";"0"
"Aio??n: rivista internazionale di architettura";"1720-1721";"AveryIndex";"University of California";"2002";"0";"1";"2002";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"AIP news";"0162-3575";"AveryIndex";"University of California";"1975";"10";"8";"1978";"2";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"Aktuelles Bauen";"";"AveryIndex";"University of California";"1984";"19";"10";"1985";"20";"4";"0";"0";"0";"0";"0";"0";"6";"0"
"Aktuelles Bauen/Baumarkt";"";"AveryIndex";"University of California";"1993";"0";"1-2";"1993";"0";"4";"0";"0";"0";"0";"0";"0";"3";"0"
"Alabama architecture";"";"AveryIndex";"University of California";"1988";"0";"0";"1988";"71";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Albany preservation report";"";"AveryIndex";"University of California";"1982";"0";"0";"2004";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0"
"Albertina Studien";"";"AveryIndex";"University of California";"1963";"1";"2";"1967";"5-6";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Albright Art Gallery. Gallery notes";"";"AveryIndex";"University of California";"1947";"11";"0";"1947";"11";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Album";"";"AveryIndex";"University of California";"1897";"1";"0";"1897";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Alemania Franciscana antiqua";"";"AveryIndex";"University of California";"1956";"1";"0";"1973";"18";"0";"0";"0";"0";"0";"0";"0";"15";"0"
"Allgemeine Bauzeitung";"";"AveryIndex";"University of California";"1838";"3";"0";"1897";"62";"0";"0";"0";"0";"0";"0";"0";"7";"0"
"Alsno? hus. Stockholm";"";"AveryIndex";"University of California";"1920";"0";"0";"1920";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Alte Stadt";"0170-9364";"AveryIndex";"University of California";"1984";"11";"3";"2004";"31";"4";"0";"0";"0";"0";"0";"0";"74";"0"
"Alte Stadt";"";"AveryIndex";"University of California";"1992";"19";"2";"1992";"19";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"Alte und moderne Kunst";"";"AveryIndex";"University of California";"1971";"16";"0";"1980";"25";"172-173";"0";"0";"0";"0";"0";"0";"9";"0"
"Alte und moderne Kunst";"0002-6565";"AveryIndex";"University of California";"1977";"22";"152";"1985";"30";"203";"0";"0";"0";"0";"0";"0";"18";"0"
"Amacadmy";"";"AveryIndex";"University of California";"1988";"0";"0";"1988";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"AMC";"";"AveryIndex";"University of California";"1985";"0";"9";"1988";"0";"20";"0";"0";"0";"0";"0";"0";"7";"0"
"AMC";"0336-1675";"AveryIndex";"University of California";"1980";"0";"52-53";"1988";"0";"22";"0";"0";"0";"0";"0";"0";"10";"0"
"AMC";"0836-1675";"AveryIndex";"University of California";"1988";"0";"23-24";"1988";"0";"23-24";"0";"0";"0";"0";"0";"0";"1";"0"
"AMC";"0335-1675";"AveryIndex";"University of California";"1988";"0";"21";"1988";"0";"21";"0";"0";"0";"0";"0";"0";"1";"0"
"American achitect";"";"AveryIndex";"University of California";"1913";"104";"0";"1913";"104";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American antiques";"";"AveryIndex";"University of California";"1975";"3";"1";"1977";"5";"5";"0";"0";"0";"0";"0";"0";"13";"0"
"American antiques";"0364-0388";"AveryIndex";"University of California";"1975";"3";"4";"1978";"6";"7";"0";"0";"0";"0";"0";"0";"16";"0"
"American architect";"";"AveryIndex";"University of California";"1872";"100";"1872";"2596";"139";"2596";"0";"0";"0";"0";"0";"0";"1021";"0"
"American architect &amp; building news";"";"AveryIndex";"University of California";"1878";"4";"0";"1878";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect (New York)";"";"AveryIndex";"University of California";"1925";"128";"2484";"1925";"128";"2484";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect [and] architectural review";"";"AveryIndex";"University of California";"1922";"122";"0";"1923";"123";"2411";"0";"0";"0";"0";"0";"0";"2";"0"
"American architect [and] the architectural";"";"AveryIndex";"University of California";"1922";"122";"2398";"1922";"122";"2398";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect [and] the architectural review";"";"AveryIndex";"University of California";"1917";"112";"0";"1929";"136";"2574";"0";"0";"0";"0";"0";"0";"90";"0"
"American architect and architecture";"";"AveryIndex";"University of California";"1927";"131";"0";"1937";"150";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"American architect and builder";"";"AveryIndex";"University of California";"1876";"1";"0";"1876";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect and builders' magazine";"";"AveryIndex";"University of California";"1913";"103";"1935";"1913";"103";"1935";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect and builders' monthly";"";"AveryIndex";"University of California";"1870";"1";"0";"1918";"6";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"American architect and building";"";"AveryIndex";"University of California";"1876";"5";"0";"1876";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect and building news";"";"AveryIndex";"University of California";"1287";"70";"1287";"1989";"61";"0";"0";"0";"0";"0";"0";"0";"641";"0"
"American architect and buildings news";"";"AveryIndex";"University of California";"1876";"1";"0";"1876";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect and engineer";"";"AveryIndex";"University of California";"1950";"183";"0";"1950";"183";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect and the architectural review";"";"AveryIndex";"University of California";"1921";"119";"0";"1924";"126";"2459";"0";"0";"0";"0";"0";"0";"21";"0"
"American architect.";"";"AveryIndex";"University of California";"1905";"88";"1541";"1905";"88";"1541";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect...";"";"AveryIndex";"University of California";"1924";"126";"0";"1924";"126";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American architect[and] the architectural review";"";"AveryIndex";"University of California";"1924";"126";"0";"1924";"126";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American architects";"";"AveryIndex";"University of California";"1915";"108";"2080";"1920";"118";"2333";"0";"0";"0";"0";"0";"0";"3";"0"
"American art";"1073-9300";"AveryIndex";"University of California";"2000";"14";"2";"2001";"15";"2";"0";"0";"0";"0";"0";"0";"2";"0"
"American art and antiques";"";"AveryIndex";"University of California";"1979";"2";"2";"1979";"2";"3";"0";"0";"0";"0";"0";"0";"2";"0"
"American art annual";"";"AveryIndex";"University of California";"1911";"9";"0";"1928";"25";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"American art journal";"0002-7359";"AveryIndex";"University of California";"1970";"2";"1";"1989";"21";"4";"0";"0";"0";"0";"0";"0";"19";"0"
"American art news";"";"AveryIndex";"University of California";"1905";"3";"0";"1923";"21";"0";"0";"0";"0";"0";"0";"0";"12";"0"
"American art review";"0092-1327";"AveryIndex";"University of California";"1974";"1";"5";"1976";"3";"5";"0";"0";"0";"0";"0";"0";"3";"0"
"American art review";"";"AveryIndex";"University of California";"1880";"0";"0";"1975";"2";"4";"0";"0";"0";"0";"0";"0";"5";"0"
"American art student and commercial artist";"";"AveryIndex";"University of California";"1926";"9";"0";"1926";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American artist";"0002-7375";"AveryIndex";"University of California";"1985";"49";"517";"1985";"49";"520";"0";"0";"0";"0";"0";"0";"2";"0"
"American builder";"";"AveryIndex";"University of California";"1868";"1";"0";"1968";"101";"0";"0";"0";"0";"0";"0";"0";"18";"0"
"American builder and journal of art";"";"AveryIndex";"University of California";"1868";"1";"0";"1870";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0"
"American bungalow";"1055-0674";"AveryIndex";"University of California";"1991";"1";"3";"2004";"0";"44";"0";"0";"0";"0";"0";"0";"17";"0"
"American bungalow";"";"AveryIndex";"University of California";"1994";"0";"9";"2002";"0";"34";"0";"0";"0";"0";"0";"0";"25";"0"
"American carpenter and builder";"";"AveryIndex";"University of California";"1905";"1";"9";"1905";"1";"9";"0";"0";"0";"0";"0";"0";"1";"0"
"American Catholic historical researches";"";"AveryIndex";"University of California";"1907";"24";"0";"1907";"24";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American city";"";"AveryIndex";"University of California";"1908";"0";"0";"1978";"93";"1";"0";"0";"0";"0";"0";"0";"52";"0"
"American city &amp; county";"0149-337X";"AveryIndex";"University of California";"1977";"92";"12";"1992";"107";"8";"0";"0";"0";"0";"0";"0";"35";"0"
"American city &amp; county";"";"AveryIndex";"University of California";"1976";"91";"2";"1976";"91";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"American civic annual";"";"AveryIndex";"University of California";"1935";"0";"0";"1936";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"American collector";"";"AveryIndex";"University of California";"1934";"1";"0";"1948";"17";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"American competitions";"";"AveryIndex";"University of California";"1907";"0";"0";"1913";"3";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"American county";"";"AveryIndex";"University of California";"1971";"36";"10";"1972";"37";"9";"0";"0";"0";"0";"0";"0";"2";"0"
"American craft";"0194-8008";"AveryIndex";"University of California";"1983";"43";"6";"1988";"49";"4";"0";"0";"0";"0";"0";"0";"13";"0"
"American craft";"0149-8008";"AveryIndex";"University of California";"1985";"45";"3";"1985";"45";"3";"0";"0";"0";"0";"0";"0";"1";"0"
"American federation of arts";"";"AveryIndex";"University of California";"1910";"1";"0";"1910";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American homes and gardens";"";"AveryIndex";"University of California";"1905";"1";"0";"1915";"12";"0";"0";"0";"0";"0";"0";"0";"12";"0"
"American journal of archaeology";"0002-9114";"AveryIndex";"University of California";"1816";"20";"0";"2008";"112";"3";"0";"0";"0";"0";"0";"0";"232";"0"
"American magazine of art";"";"AveryIndex";"University of California";"1828";"19";"0";"1946";"39";"0";"0";"0";"0";"0";"0";"0";"64";"0"
"American medical and philosophical register";"";"AveryIndex";"University of California";"1814";"3";"0";"1814";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American mercury";"";"AveryIndex";"University of California";"1945";"61";"0";"1945";"61";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American preservation";"0148-3668";"AveryIndex";"University of California";"1977";"1";"1";"1979";"2";"4";"0";"0";"0";"0";"0";"0";"7";"0"
"American preservation";"";"AveryIndex";"University of California";"1978";"1";"2";"1981";"4";"1";"0";"0";"0";"0";"0";"0";"11";"0"
"American quarterly";"";"AveryIndex";"University of California";"1957";"9";"0";"1957";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American Scandinavian review";"";"AveryIndex";"University of California";"1919";"7";"0";"1932";"20";"0";"0";"0";"0";"0";"0";"0";"13";"0"
"American school and university";"";"AveryIndex";"University of California";"1943";"20";"0";"1951";"25";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"American Society Legion of Honor magazine";"";"AveryIndex";"University of California";"1951";"22";"0";"1967";"38";"3";"0";"0";"0";"0";"0";"0";"8";"0"
"American Society of Planning Officials. Planning";"";"AveryIndex";"University of California";"1963";"0";"0";"1963";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"American urban guidenotes";"";"AveryIndex";"University of California";"1984";"3";"4";"1987";"4";"2";"0";"0";"0";"0";"0";"0";"3";"0"
"American-German review";"";"AveryIndex";"University of California";"1934";"1";"0";"1940";"7";"0";"0";"0";"0";"0";"0";"0";"14";"0"
"American-Scandinavian review";"";"AveryIndex";"University of California";"1930";"18";"0";"1930";"18";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Ami des monuments et des arts";"";"AveryIndex";"University of California";"1838";"12";"0";"1909";"23";"0";"0";"0";"0";"0";"0";"0";"35";"0"
"Amour de l'art";"";"AveryIndex";"University of California";"1920";"1";"0";"1951";"30";"46-48";"0";"0";"0";"0";"0";"0";"35";"0"
"Amtliche Berichte aus den ko?niglichen Kunstsammlungen";"";"AveryIndex";"University of California";"1915";"37";"0";"1915";"37";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Anadolu aras?ti??rmalari?? / Istanbul U?niversitesi, Edebiyat Fakultesi, Eski O?nasya Dilleri ve Ku?ltu?rleri Bo?lu?mu?";"0569-9746";"AveryIndex";"University of California";"1986";"10";"0";"1986";"10";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Anadolu Arastirmalari";"";"AveryIndex";"University of California";"1959";"1";"2";"1959";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0"
"Anadolu Sanati Arastirmalari";"";"AveryIndex";"University of California";"1959";"1";"2";"1970";"2";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Analecta Romana Instituti Danici";"";"AveryIndex";"University of California";"1971";"6";"0";"1974";"7";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Analecta Romana Instituti Danici";"0066-1406";"AveryIndex";"University of California";"1969";"5";"0";"1987";"12";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Analecta romana instituti danici";"0066-1392";"AveryIndex";"University of California";"1960";"1";"0";"1987";"16";"0";"0";"0";"0";"0";"0";"0";"13";"0"
"Analecta Romana Instituti Danici. Supplementum.";"";"AveryIndex";"University of California";"1980";"9-";"0";"1980";"9-";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Anales";"";"AveryIndex";"University of California";"1942";"3";"9";"1972";"4";"52";"0";"0";"0";"0";"0";"0";"29";"0"
"Anales de arquitectura";"0214-4727";"AveryIndex";"University of California";"1989";"0";"1";"2000";"0";"8";"0";"0";"0";"0";"0";"0";"8";"0"
"Anales de la Facultad de Arquitectura";"";"AveryIndex";"University of California";"1949";"0";"12";"1949";"0";"12";"0";"0";"0";"0";"0";"0";"1";"0"
"Anales y boletin de los museos de arte de Barcelona";"";"AveryIndex";"University of California";"1945";"3";"3";"1948";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Anatolian studies";"0066-1546";"AveryIndex";"University of California";"1981";"31";"0";"1981";"31";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Anatolian studies";"";"AveryIndex";"University of California";"1959";"9";"0";"1988";"38";"0";"0";"0";"0";"0";"0";"0";"18";"0"
"Ancient Egypt and the East";"";"AveryIndex";"University of California";"1916";"0";"0";"1935";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Ancient Mesoamerica";"0956-5361";"AveryIndex";"University of California";"1995";"6";"1";"1995";"6";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Andean quarterly";"";"AveryIndex";"University of California";"1943";"0";"0";"1944";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Andhra Pradesh journal of archaeology";"";"AveryIndex";"University of California";"1979";"1";"1";"1979";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Anfione e Zeto";"";"AveryIndex";"University of California";"2000";"0";"13";"2006";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0"
"Anfione zeto";"";"AveryIndex";"University of California";"1988";"0";"0";"1994";"5";"9";"0";"0";"0";"0";"0";"0";"8";"0"
"Angewandte Kunst";"";"AveryIndex";"University of California";"1916";"19";"0";"1916";"19";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Annalen";"";"AveryIndex";"University of California";"1858";"5";"0";"1860";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Annales";"";"AveryIndex";"University of California";"1871";"2";"0";"1913";"65";"0";"0";"0";"0";"0";"0";"0";"36";"0"
"Annales arche??ologiques";"";"AveryIndex";"University of California";"1844";"1";"0";"1864";"24";"0";"0";"0";"0";"0";"0";"0";"9";"0"
"Annales de la recherche urbaine";"0180-930X";"AveryIndex";"University of California";"1987";"0";"37";"1990";"0";"48";"0";"0";"0";"0";"0";"0";"10";"0"
"Annali del barocco in Sicilia";"";"AveryIndex";"University of California";"1994";"0";"1";"1994";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Annali di architettura";"";"AveryIndex";"University of California";"1992";"4-5";"0";"1994";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Annali di architettura:";"";"AveryIndex";"University of California";"1989";"1";"0";"1989";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Annali di architettura: rivista del centro internazionale di studi di architettura Andrea Palladio";"";"AveryIndex";"University of California";"1989";"1";"0";"2005";"0";"17";"0";"0";"0";"0";"0";"0";"11";"0"
"Annals of regional science";"";"AveryIndex";"University of California";"1972";"6";"2";"1976";"10";"3";"0";"0";"0";"0";"0";"0";"4";"0"
"Annals of regional science";"0570-1864";"AveryIndex";"University of California";"1977";"11";"2";"1988";"22";"3";"0";"0";"0";"0";"0";"0";"3";"0"
